"ID","Reference Type","ReferenceID"
10657,"Nomenclatural Reference",2334
11048,"Nomenclatural Reference",7248
112096,"Nomenclatural Reference",6329
149118,"Nomenclatural Reference",35918
22954,"Nomenclatural Reference",9283
23106,"Nomenclatural Reference",9283
23107,"Nomenclatural Reference",7097
23192,"Nomenclatural Reference",7097
10657,"Nomenclatural Reference",781
22954,"Nomenclatural Reference",7248
22954,"Nomenclatural Reference",7097
24787,"Common Name Reference",7494
22954,"Common Name Reference",31411
112090,"Common Name Reference",2059
112090,"Common Name Reference",37395
22954,"Common Name Reference",4887
22954,"Common Name Reference",4390
58485,"Common Name Reference",171
23107,"Common Name Reference",6269
29523,"Common Name Reference",3287
29523,"Common Name Reference",3287
10657,"Common Name Reference",12356
23898,"Common Name Reference",41475
23106,"Common Name Reference",31411
29523,"Common Name Reference",27295
29523,"Common Name Reference",27295
29523,"Common Name Reference",6390
29523,"Common Name Reference",35205
58485,"Common Name Reference",171
29523,"Common Name Reference",33390
24787,"Common Name Reference",26334
24787,"Common Name Reference",1441
24787,"Common Name Reference",1441
23881,"Common Name Reference",31411
22954,"Common Name Reference",31411
58485,"Common Name Reference",38265
58485,"Common Name Reference",27000
10020,"Nomenclatural reference",14320
10021,"Nomenclatural reference",1650
10028,"Nomenclatural reference",2710
10029,"Nomenclatural reference",16785
10030,"Nomenclatural reference",3490
10045,"Nomenclatural reference",2787
10070,"Nomenclatural reference",17344
10072,"Nomenclatural reference",2830
10073,"Nomenclatural reference",3069
10075,"Nomenclatural reference",2787
10076,"Nomenclatural reference",2787
10080,"Nomenclatural reference",1011
10082,"Nomenclatural reference",1011
10088,"Nomenclatural reference",4883
10089,"Nomenclatural reference",4883
10097,"Nomenclatural reference",1002
10101,"Nomenclatural reference",995
10106,"Nomenclatural reference",2787
10107,"Nomenclatural reference",471
10108,"Nomenclatural reference",1002
10109,"Nomenclatural reference",4868
10110,"Nomenclatural reference",4868
10111,"Nomenclatural reference",1002
10112,"Nomenclatural reference",471
10028,"Nomenclatural reference",1650
10073,"Nomenclatural reference",1011
10073,"Nomenclatural reference",1650
10107,"Nomenclatural reference",3490
10020,"TaxAccRef",1877383
10021,"TaxAccRef",1877383
