"ReferenceID","Authors","Year","Title","Details"
26673,"Skelton, P.H.",1996,"A review of <i>Opsaridium zambezense</i> (Pisces: Cyprinidae) from southern Africa with description of a new species from Malawi.","Ichthyol. Explor. Freshwaters 7(1):59-84."
26673,"Skelton, P.H.",1996,"A review of <i>Opsaridium zambezense</i> (Pisces: Cyprinidae) from southern Africa with description of a new species from Malawi.","Ichthyol. Explor. Freshwaters 7(1):59-84."
26678,"Kullander, S.O. and S. Prada-Pedreros",1993,"<i>Nannacara  adoketa</i>, a new species of ciclid fish from the Rio Negro in Brazil.","Ichthyol. Explor. Freshwat. 4(4):357-366."
26678,"Kullander, S.O. and S. Prada-Pedreros",1993,"<i>Nannacara  adoketa</i>, a new species of ciclid fish from the Rio Negro in Brazil.","Ichthyol. Explor. Freshwat. 4(4):357-366."
12356,"Strasburg, D.W.",1950,"Names of Marshallese fishes obtained at Arno Atoll.","Typed manuscript."
1441,"Berg, L.S.",1964,"Freshwater fishes of the U.S.S.R. and adjacent countries. volume 2, 4th edition.","Israel Program for Scientific Translations Ltd, Jerusalem. (Russian version published 1949)."
171,"Coppola, S.R., W. Fischer, L. Garibaldi, N. Scialabba and K.E. Carpenter",1994,"SPECIESDAB: Global species database for fishery purposes. User's manual.","FAO Computerized Information Series (Fisheries). No. 9. Rome, FAO. 103 p."
2059,"Baensch, H.A. and R. Riehl",1991,"Aquarien atlas. Bd. 3.","Melle: Mergus, Verlag für Natur- und Heimtierkunde, Germany. 1104 p."
26334,"Reshetnikov, Y.S., N.G. Bogutskaya, E.D. Vasil'eva, E.A. Dorofeeva, A.M. Naseka, O.A. Popova, K.A. Savvaitova, V.G. Sideleva and L.I. Sokolov",1997,"An annotated check-list of the freshwater fishes of Russia.","J. Ichthyol. 37(9):687-736."
27000,"Reiner, F.",1996,"Catálogo dos peixes do Arquipélago de Cabo Verde.","Publicações avulsas do IPIMAR No. 2. 339 p."
27295,"Butsch, R.S.",1939,"A list of Barbadian fishes.","J. B.M.H.S. 7(1):17-31."
31411,"Ganaden, S.R. and F. Lavapie-Gonzales",1999,"Common and local names of marine fishes of the Philippines.","Bureau of Fisheries and Aquatic Resources, Philippines. 385 p."
3287,"Smith-Vaniz, W.F.",1984,"Carangidae.","In W. Fischer and G. Bianchi (eds.)  FAO species identification sheets for fishery purposes. Western Indian Ocean fishing area 51. Vol. 1. [pag. var.]. FAO, Rome."
33390,"Fricke, R.",1999,"Fishes of the Mascarene Islands (Réunion, Mauritius, Rodriguez): an annotated checklist, with descriptions of new species.","Koeltz Scientific Books, Koenigstein, Theses Zoologicae, Vol. 31: 759 p."
35205,"Zaneveld, J.S.",1983,"Caribbean Fish Life. Index to the local and scientific names of the marine fishes and fishlike invertebrates of the Caribbean area (Tropical Western Central Atlantic Ocean)","E.J. Brill / Dr. W. Backhuys, Leiden, 163p."
37395,"Reis, R.E.",2003,"Callichthyidae (Armored catfishes).","p. 291-309. In R.E. Reis, S.O. Kullander and C.J. Ferraris, Jr. (eds.) Checklist of the Freshwater Fishes of South and Central America. Porto Alegre: EDIPUCRS, Brasil."
38265,"Nomura, H.",1984,"Dicionário dos peixes do Brasil.","Brasília: Editerra. 482p."
41475,"Economidis, P.S. and E. Koutrakis",2001,"Common names of comercially important  Hellenic marine organisms.","Aristotle University, Unpublished Technical Report."
4390,"Various authors",1992,"pers. comm.","Division of Aquatic Resources, State of Hawaii, Dept. of Land and Natural Resources."
4887,"Honebrink, R.",1990,"Fishing in Hawaii: a student manual.","Education Program,  Division of Aquatic Resources, Honolulu, Hawaii. 79 p."
6269,"Pliya, J.",1980,"La pêche dans le sud-ouest du Bénin.","Agence de Cooperation Culturelle et Technique, Paris. 296 p."
6390,"Kailola, P.J., M.J. Williams, P.C. Stewart, R.E. Reichelt, A. McNee and C. Grieve",1993,"Australian fisheries resources.","Bureau of Resource Sciences, Canberra, Australia. 422 p."
7494,"Varjo, M.",1981,"Kalannimiluettelo (List of Finnish fish names).","Luonnon Tutkija 85:1-60"
1877383,"Randall, J.E.",1986,"Labridae.","p. 683-706. In M.M. Smith and P.C. Heemstra (eds.) Smiths' sea fishes. Springer-Verlag, Berlin."
